"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)","Address","ddress","lat","long"
"1",8," Orczy út 46-48",42,1,NA,99000,"renovated","high",NA,1,2,"No",NA,"Yes","Yes",NA,"immediately","nincs",NA,NA,"Yes","No",NA,"street",NA,NA,NA," Orczy út 46-48,8"," Orczy út 46-48, 8",47.487824,19.0927789
"2",13," Frangepán utca",44,1,1,175000,"new","high",NA,5,8,"Yes","less than 3","No","Yes",NA,"immediately","1 év","street","No","Yes","No","No","can rent","2020","2",NA," Frangepán utca,13"," Frangepán utca, 13",47.5355686,19.0728925
"3",9," Kinizsi utca",70,3,NA,160000,"like new","very high",NA,3,5,"Yes",NA,NA,"Yes",NA,"immediately","1 év","street","No","Yes",NA,"No","can rent","2001-2010 ",NA,30000," Kinizsi utca,9"," Kinizsi utca, 9",47.5837366,19.0614178591709
"4",14," Öv utca 133.",43,2,NA,144000,"like new","high","AA+",3,8,"Yes","less than 3",NA,"By arrangement",25000,"not immediately","1 év","panorama",NA,NA,"Yes",NA,"can rent","2012","5",8000," Öv utca 133.,14"," Öv utca 133., 14",47.5299747,19.1273632600085
"5",13," Ipoly utca 3.",55,2,NA,185000,"new","high","AA+",5,9,"Yes","less than 3","Yes","By arrangement",25000,"not immediately","1 év","garden",NA,"Yes","Yes","Yes","can rent","2013","11",45000," Ipoly utca 3.,13"," Ipoly utca 3., 13",47.520241,19.0537582
"6",11," Szentimreváros",110,3,NA,420000,"renovated","very high",NA,3,3,"No","less than 3","Yes","Yes",NA,"immediately","1 év","garden","No","Yes",NA,"No","included",NA,"6",NA," Szentimreváros,11"," Szentimreváros, 11",47.479064,19.0387155
"7",16," Koronafürt utca 44",20,1,NA,80000,"new","high","AA",NA,5,"Yes",NA,"No","Yes",20000,"immediately","5 hónap","yard","Yes","Yes","No","No","included","2019",NA,NA," Koronafürt utca 44,16"," Koronafürt utca 44, 16",47.5072511,19.2021583
"8",5," Semmelweis utca 11.",20,1,NA,90000,"new","high","AA",NA,7,"Yes",NA,"No","Yes",20000,"immediately","5 hónap",NA,"No","Yes","No","No",NA,"2017",NA,NA," Semmelweis utca 11.,5"," Semmelweis utca 11., 5",47.4948963,19.0583159304469
"9",5," Petofi Sándor utca 17.",42,1,1,349000,"new","high",NA,2,8,"Yes","less than 3",NA,"Yes",70000,"immediately","1 év","yard","No","Yes","No","No","street","2021","10",NA," Petofi Sándor utca 17.,5"," Petofi Sándor utca 17., 5",47.4949365,19.0534821
"10",2," Újlak",73,2,1,240000,"like new","very high",NA,3,5,"Yes","less than 3",NA,"No",NA,"immediately","1 év","street","No","No",NA,"No","street","1981-2000 ",NA,NA," Újlak,2"," Újlak, 2",47.4786565,19.2351127
"11",13," Madarász Viktor utca 38.",42,1,1,168750,"new","high",NA,4,8,"Yes",NA,"Yes","Yes",15000,"immediately","1 év",NA,NA,"Yes",NA,NA,NA,"2020","11",NA," Madarász Viktor utca 38.,13"," Madarász Viktor utca 38., 13",47.5513389,19.0769152
"12",13," Röppentyu utca",45,2,NA,140000,"like new","high",NA,2,6,"Yes","less than 3",NA,"Partially",NA,"not immediately","1 év","garden","No","Yes","No","No","street","2001-2010 ","6",NA," Röppentyu utca,13"," Röppentyu utca, 13",47.66498235,17.6606604142781
"13",11," Szentimreváros",70,3,NA,2e+05,"renovated","high",NA,0.5,2,"No","3 or more","No","No",40000,"immediately","1 év","garden","No","No","No","No","can rent",NA,NA,25000," Szentimreváros,11"," Szentimreváros, 11",47.479064,19.0387155
"14",2," Bécsi út",97,4,NA,425000,"like new","very high",NA,2,6,"Yes","less than 3","Yes","No",NA,"immediately","1 év","street","No","Yes","No","No","must rent","2001-2010 ","15",25000," Bécsi út,2"," Bécsi út, 2",47.524786,19.0367661
"15",7," Dohány utca",50,2,NA,120000,"renovated","average",NA,2,4,"No","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA," Dohány utca,7"," Dohány utca, 7",47.4953393,19.062168
"16",21," Kossuth Lajos utca",55,2,NA,120000,"good","high",NA,NA,10,NA,"less than 3",NA,"Yes",15000,NA,"1 év","street",NA,"Yes","No","No","street",NA,"3",NA," Kossuth Lajos utca,21"," Kossuth Lajos utca, 21",47.4230894,19.0693245
"17",9," Ferenc körút",37,1,1,120000,"renovated","high",NA,1,5,"Yes","3 or more","Yes","No",NA,"immediately","1 év","street","No","Yes",NA,"No","street",NA,NA,NA," Ferenc körút,9"," Ferenc körút, 9",47.9655378,21.7166364
"18",11," Alíz utca 6",65,3,NA,240000,"like new",NA,NA,1,6,"Yes",NA,"Yes","Partially",NA,"immediately","1 év","panorama","No","Yes",NA,NA,"included","2019","125",NA," Alíz utca 6,11"," Alíz utca 6, 11",47.4589903,19.0487356
"19",14," Kerepesi út 30.",40,1,NA,120000,"renovated","high",NA,3,3,"No","less than 3","Yes","Yes",15000,"not immediately","1 év","street",NA,"Yes","No",NA,"can rent",NA,NA,20000," Kerepesi út 30.,14"," Kerepesi út 30., 14",47.5006056,19.1097823
"20",13," Futár utca",52,2,NA,160000,"like new",NA,NA,3,4,"Yes",NA,"Yes","Partially",9000,"immediately","1 év","garden",NA,NA,NA,NA,"street","2001-2010 ","13",NA," Futár utca,13"," Futár utca, 13",47.5391675,19.0865964
"21",2," Törökvész út",140,5,NA,520000,"renovated","very high",NA,2,3,"No","less than 3","Yes","No",NA,"not immediately","1 év","panorama","No","Yes",NA,NA,"included",NA,"40",NA," Törökvész út,2"," Törökvész út, 2",47.51992815,19.021592021551
"22",7," Wesselényi utca 9.",75,3,NA,170000,"like new","high",NA,3,NA,"Yes","3 or more","Yes","Yes",70000,"immediately","nincs",NA,"No","Yes","No","No",NA,NA,NA,NA," Wesselényi utca 9.,7"," Wesselényi utca 9., 7",47.4969071,19.0618052
"23",13," Babér utca 13.",37,2,NA,158000,"new","high",NA,1,8,"Yes","less than 3","Yes","Yes",28000,"immediately","1 év","street","No","Yes",NA,NA,"street","2018","5",NA," Babér utca 13.,13"," Babér utca 13., 13",47.5478217,19.0757291
"24",13," Madarász Viktor utca",46,2,NA,168000,"new",NA,NA,5,NA,"Yes",NA,"Yes","Yes",20000,NA,"1 év","yard",NA,"Yes",NA,NA,"can rent",NA,"11",20000," Madarász Viktor utca,13"," Madarász Viktor utca, 13",47.5461951,19.0750440041604
"25",7," Belso-Erzsébetváros",75,3,1,155000,"renovated","high",NA,0.5,5,"Yes","3 or more","Yes","No",33000,"immediately","1 év","street","No","Yes","No","No","street","1950-1980 ",NA,NA," Belso-Erzsébetváros,7"," Belso-Erzsébetváros, 7",47.55763565,19.03214965
"26",7," Dohány utca 57.",68,2,NA,159000,"like new","high",NA,NA,NA,NA,"less than 3","No","Yes",60000,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA," Dohány utca 57.,7"," Dohány utca 57., 7",47.4989716,19.0714565214886
"27",11," Baranyai tér",30,1,NA,120000,"renovated","high",NA,4,7,"Yes","less than 3","No","No",NA,"not immediately","1 év","street","No","Yes","No","No","street","1950-1980 ",NA,NA," Baranyai tér,11"," Baranyai tér, 11",47.4733432,19.0504408
"28",6," Andrássy út",110,3,NA,350000,"renovated","very high",NA,0.5,3,"No",NA,NA,"Yes",NA,"immediately","1 év","garden","No","Yes","Yes","No","street","1950 elott","1",NA," Andrássy út,6"," Andrássy út, 6",47.5008285,19.056241
"29",13," Danubius utca",61,2,NA,220000,"like new","luxury",NA,5,9,"Yes","less than 3","Yes","Yes",50000,"immediately","1 év","panorama","No","Yes",NA,NA,"included","2001-2010 ","16",NA," Danubius utca,13"," Danubius utca, 13",47.5479832,19.0660088
"30",12," Németvölgyi út 41.",53,2,NA,396000,"new","luxury","AA++",1,3,"Yes","less than 3","Yes","By arrangement",40000,"immediately","1 év","garden",NA,"Yes",NA,NA,"can rent",NA,"11",NA," Németvölgyi út 41.,12"," Németvölgyi út 41., 12",47.494333,19.0137302
"31",5," Múzeum körút 9.",65,2,1,190000,"renovated","high",NA,2,NA,"Yes",NA,NA,"Yes",30000,"immediately","1 év","street",NA,"Yes","No","No","street","1950-1980 ",NA,NA," Múzeum körút 9.,5"," Múzeum körút 9., 5",47.4932366,19.0603107
"32",2," Lajos utca",60,2,NA,159000,"renovated","high","AA++",1,4,"Yes","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA," Lajos utca,2"," Lajos utca, 2",47.52454,19.0374382
"33",6," Teréz körút 8.",90,3,1,320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,"6",NA," Teréz körút 8.,6"," Teréz körút 8., 6",47.50428605,19.0641999053643
"34",6," Izabella utca 70.",45,1,1,125000,"renovated",NA,NA,3,3,"No","3 or more",NA,"Yes",20000,"immediately","6 hónap","yard",NA,"Yes","No","No",NA,NA,NA,NA," Izabella utca 70.,6"," Izabella utca 70., 6",47.5090662,19.0654124
"35",11," Lágymányosi utca",42,1,NA,130000,"renovated","high",NA,3,3,NA,"3 or more",NA,"Yes",20000,"immediately","1 év","street",NA,"Yes","Yes",NA,NA,"1981-2000 ",NA,NA," Lágymányosi utca,11"," Lágymányosi utca, 11",47.4775999,19.0516483944049
"36",9," Vágóhíd utca 3.",61,2,NA,180000,"new","high",NA,4,10,"Yes","less than 3","Yes","By arrangement",40000,"immediately","1 év","street","No","No","No","No","can rent","2020","28",20500," Vágóhíd utca 3.,9"," Vágóhíd utca 3., 9",47.47189835,19.0782007579403
"37",8," Kofaragó utca",115,4,NA,620000,"renovated","luxury",NA,2,2,"No","3 or more",NA,"Yes",60000,"immediately","6 hónap","street","No","Yes",NA,"No","can rent","1950 elott",NA,25000," Kofaragó utca,8"," Kofaragó utca, 8",47.4936358,19.0682036
"38",12," Németvölgyi út 23.",82,2,1,290000,"new","luxury",NA,3,3,"Yes",NA,"Yes","Yes",20000,"immediately","1 év","street",NA,"Yes","No","No","must rent","2011","25",40000," Németvölgyi út 23.,12"," Németvölgyi út 23., 12",47.4959607,19.0167382456889
"39",11," Szent Gellért tér",50,2,NA,160000,"renovated","high",NA,2,4,"No","3 or more","No","No",30000,"immediately","1 év","street","No","No","No","No","street","1950 elott",NA,NA," Szent Gellért tér,11"," Szent Gellért tér, 11",47.2521912,17.7284917
"40",13," Volegény utca 2.",50,2,NA,149000,"renovated","high",NA,2,2,"No","less than 3","Yes","Yes",29000,"immediately","1 év","garden","No","Yes","No","No","can rent",NA,"4",NA," Volegény utca 2.,13"," Volegény utca 2., 13",47.54621515,19.0814460607673
"41",14," Szabács utca",43,1,1,120000,"good","high",NA,1,4,"No","less than 3","No","No",NA,"immediately","nincs","panorama",NA,"No","No","No","street",NA,"2",NA," Szabács utca,14"," Szabács utca, 14",47.5185495,19.1157513
"42",7," Klauzál utca 34.",95,5,NA,180000,"like new","high",NA,2,NA,"No","3 or more","Yes","Yes",1e+05,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA," Klauzál utca 34.,7"," Klauzál utca 34., 7",47.4992314,19.0649472
"43",7," Dohány utca 5.",90,3,NA,180000,"like new","high",NA,2,NA,"Yes","less than 3","Yes","Yes",80000,"immediately","nincs","street","No","Yes","No","No",NA,NA,NA,NA," Dohány utca 5.,7"," Dohány utca 5., 7",47.4954114,19.0614601
"44",7," Rákóczi út 36.",100,5,NA,180000,"like new","average",NA,3,NA,"Yes","3 or more","Yes","Yes",80000,"immediately","nincs",NA,"No","Yes","No","No",NA,NA,NA,NA," Rákóczi út 36.,7"," Rákóczi út 36., 7",47.49665,19.0680572
"45",7," Dohány utca 5.",50,2,NA,160000,"like new","average",NA,1,NA,"Yes","3 or more","No","Yes",40000,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA," Dohány utca 5.,7"," Dohány utca 5., 7",47.4954114,19.0614601
"46",7," Rumbach Sebestyén utca",37,1,NA,140000,"renovated","average",NA,0.5,6,"Yes",NA,NA,"Yes",20000,"immediately","1 év","yard",NA,"Yes","No",NA,NA,NA,NA,NA," Rumbach Sebestyén utca,7"," Rumbach Sebestyén utca, 7",47.4973365,19.0593806
"47",7," Rózsa utca",68,4,NA,180000,"new","high",NA,3,7,"Yes","less than 3","Yes","Partially",NA,"immediately","1 év","street","No","Yes","Yes","No","can rent","2001-2010 ",NA,35000," Rózsa utca,7"," Rózsa utca, 7",47.6437293,19.0263359
"48",7," Dohány utca",99,3,NA,185000,"renovated",NA,NA,1,NA,"Yes",NA,"Yes","No",28000,"immediately","1 év",NA,NA,NA,NA,"No","street",NA,NA,NA," Dohány utca,7"," Dohány utca, 7",47.4953393,19.062168
"49",9," Tuzoltó utca 71.",44,2,NA,130000,"new","high",NA,1,5,"Yes",NA,"Yes","No",NA,"immediately","1 év","street",NA,"Yes","No",NA,"street",NA,"2",NA," Tuzoltó utca 71.,9"," Tuzoltó utca 71., 9",47.4793698,19.0815976
"50",7," Wesselényi utca 4.",50,2,NA,130000,"renovated","high",NA,2,NA,"Yes","3 or more","Yes","Yes",50000,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA," Wesselényi utca 4.,7"," Wesselényi utca 4., 7",47.4964796,19.060201
"51",11," Etele út",49,2,NA,140000,"renovated","high",NA,6,10,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","street","No","Yes","No",NA,"street",NA,"5",NA," Etele út,11"," Etele út, 11",47.4625021,19.0413102
"52",7," Dohány utca 28.",85,2,NA,140000,"like new","high",NA,2,3,"No","3 or more","No","Yes",60000,"immediately","nincs","street","No","Yes","No","No",NA,NA,"2",NA," Dohány utca 28.,7"," Dohány utca 28., 7",47.4960005,19.063779277574
"53",13," Szobor utca 4.",47,1,1,168750,"new","high",NA,6,8,"Yes",NA,"Yes","Yes",NA,"immediately",NA,NA,NA,"Yes","Yes","No","can rent","2020","5",20000," Szobor utca 4.,13"," Szobor utca 4., 13",47.551677025,19.075208525
"54",11," Olajbogyó utca 6.",27,1,NA,95000,"like new",NA,NA,6,6,"Yes",NA,"No","No",NA,"immediately","1 év","street",NA,"Yes","No",NA,"can rent","2001-2010 ","6",20000," Olajbogyó utca 6.,11"," Olajbogyó utca 6., 11",47.4557508,19.0232162655976
"55",13," Danubius utca",76,3,NA,3e+05,"new","high",NA,4,8,"Yes",NA,NA,"No",NA,"immediately","1 év","panorama","No","Yes",NA,NA,"street","2019","16",NA," Danubius utca,13"," Danubius utca, 13",47.5479832,19.0660088
"56",13," Pannónia Ház",53,2,NA,2e+05,"new",NA,NA,4,7,"Yes","less than 3","Yes","Partially",NA,NA,"1 év",NA,NA,"Yes","No","Yes","can buy","2019","9.53",NA," Pannónia Ház,13"," Pannónia Ház, 13",47.5225961,19.0576424890314
"57",7," Király utca",55,2,NA,140000,"good","high",NA,3,5,"Yes","3 or more","No","Yes",45000,"immediately","1 év","street","No","Yes","No","No","street","1950 elott","2",NA," Király utca,7"," Király utca, 7",47.4986307,19.0573733
"58",11," Fonyód utca 17.",110,4,NA,230000,"renovated","high",NA,2,2,"No",NA,"No","No",NA,"immediately","1 év","garden","Yes","Yes","Yes",NA,"street",NA,NA,NA," Fonyód utca 17.,11"," Fonyód utca 17., 11",47.44442075,19.033146077146
"59",9," Ferenc tér",45,2,NA,65000,"renovated","high",NA,NA,NA,"Yes","less than 3","Yes","Yes",20000,"immediately","6 hónap","panorama","No","Yes","No","No","street","2020",NA,NA," Ferenc tér,9"," Ferenc tér, 9",47.4811193,19.0743938206779
"60",9," Ráday utca",58,2,NA,170000,"renovated","high",NA,1,3,"No","3 or more",NA,"Yes",40000,"immediately","1 év","street","No","No","No",NA,NA,NA,NA,NA," Ráday utca,9"," Ráday utca, 9",47.4875869,19.0628292
"61",9," Nádasdy utca",28,1,NA,135000,NA,NA,NA,6,NA,"Yes",NA,"No","Yes",15000,"immediately","1 év","yard",NA,"Yes",NA,NA,"street",NA,"2",NA," Nádasdy utca,9"," Nádasdy utca, 9",47.47338375,19.0769028880513
"62",6," Zichy Jeno utca 41.",53,3,NA,130000,NA,"high",NA,3,3,"No",NA,"No","Yes",NA,"immediately","1 év","yard",NA,"Yes","No",NA,"street",NA,NA,NA," Zichy Jeno utca 41.,6"," Zichy Jeno utca 41., 6",47.5056477,19.0591858
"63",9," Ráday utca",68,2,1,170000,"renovated","high",NA,1,5,"No","3 or more","No","Yes",40000,"immediately","1 év","garden","No","Yes","Yes","No","street","1950 elott",NA,NA," Ráday utca,9"," Ráday utca, 9",47.4875869,19.0628292
"64",11," Kondorosi út 12.",29,1,1,130000,"renovated","high","B",1,8,"Yes","3 or more","No","No",30000,"immediately","1 év","street","No","Yes","Yes","No","street","2001-2010 ","2",NA," Kondorosi út 12.,11"," Kondorosi út 12., 11",47.4507291,19.0391605
"65",9," Ráday utca 16.",100,4,NA,170000,"like new","high",NA,1,NA,"No","3 or more","No","Yes",80000,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA," Ráday utca 16.,9"," Ráday utca 16., 9",47.4876585,19.0630853
"66",9," Lónyay utca 7.",65,4,NA,179000,"like new","average",NA,1,NA,"No","3 or more","Yes","Yes",70000,"immediately","nincs","street","No","Yes","No","No",NA,NA,NA,NA," Lónyay utca 7.,9"," Lónyay utca 7., 9",47.4879236,19.0608059
"67",13," Radnóti Miklós utca 40.",90,4,NA,199000,"like new","average",NA,NA,NA,NA,"less than 3","No","Yes",40000,"immediately","nincs","street","No","Yes","No","No",NA,NA,NA,NA," Radnóti Miklós utca 40.,13"," Radnóti Miklós utca 40., 13",47.5164537,19.0489347
"68",9," Viola utca 27-29.",40,2,NA,169900,"like new","high",NA,4,5,"Yes","less than 3","Yes","Yes",14000,"immediately","1 év","street","No","Yes",NA,NA,"can rent","2017","6",25000," Viola utca 27-29.,9"," Viola utca 27-29., 9",47.4805378,19.0758574325233
"69",9," Viola utca",40,2,NA,169900,"like new","high",NA,4,5,"Yes","less than 3","Yes","Yes",14000,"immediately","1 év","street","No","Yes",NA,"No","can rent","2017","6",25000," Viola utca,9"," Viola utca, 9",47.5378805,21.6189656
"70",13," Röntgen utca",30,1,NA,95000,"renovated","average",NA,NA,5,"Yes","less than 3","No","No",NA,"immediately","1 év","garden","No","Yes","No","No","street",NA,NA,NA," Röntgen utca,13"," Röntgen utca, 13",47.5182686,19.0605663
"71",13," Pannónia Ház",54,2,NA,2e+05,"new",NA,NA,3,7,"Yes","less than 3","Yes","Partially",NA,"immediately","1 év",NA,NA,"Yes","No","Yes",NA,"2019","7.78",NA," Pannónia Ház,13"," Pannónia Ház, 13",47.5225961,19.0576424890314
"72",5," Vigyázó Ferenc utca",56,2,NA,260000,"like new","high",NA,1,5,"Yes","3 or more","Yes","Yes",NA,"immediately","1 év","yard","No","Yes",NA,NA,"can rent",NA,NA,50000," Vigyázó Ferenc utca,5"," Vigyázó Ferenc utca, 5",47.50097045,19.0484585947646
"73",9," Viola utca",45,2,NA,179900,"like new","high",NA,2,5,"Yes","less than 3","Yes","Yes",14000,"immediately","1 év","street","No","Yes","Yes","No","can rent","2017","4",30000," Viola utca,9"," Viola utca, 9",47.5378805,21.6189656
"74",9," Viola utca",45,2,NA,179900,"like new","high",NA,2,5,"Yes",NA,"Yes","Yes",14000,"immediately","1 év","yard","No","Yes","Yes","No","can rent","2017","4",30000," Viola utca,9"," Viola utca, 9",47.5378805,21.6189656
"75",9," Viola utca",45,2,NA,179900,"like new","high",NA,3,5,"Yes","less than 3","Yes","Yes",12000,"immediately","1 év","street","No","Yes","Yes","No","street","2017","3",NA," Viola utca,9"," Viola utca, 9",47.5378805,21.6189656
"76",9," Viola utca",45,2,NA,179900,"like new","high",NA,3,5,"Yes","less than 3","Yes","Yes",12000,"immediately","1 év","street","No","Yes","Yes","No","street","2017","3",NA," Viola utca,9"," Viola utca, 9",47.5378805,21.6189656
"77",9," Viola utca",50,2,NA,179900,"good","high",NA,1,5,"Yes","less than 3","Yes","Yes",16000,"immediately","1 év","street","Yes","Yes",NA,"No","street","2001-2010 ","10",NA," Viola utca,9"," Viola utca, 9",47.5378805,21.6189656
"78",9," Viola utca",50,2,NA,179900,"good","high",NA,1,5,"Yes","less than 3","Yes","Yes",16000,"immediately","1 év","street","No","Yes",NA,"No","street","2001-2010 ","10",NA," Viola utca,9"," Viola utca, 9",47.5378805,21.6189656
"79",6," Király utca",75,3,NA,159000,"new","high",NA,1,NA,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","street",NA,"Yes","No","No","street","2001-2010 ",NA,NA," Király utca,6"," Király utca, 6",47.4985292,19.0560457632683
"80",6," Vörösmarty utca",36,1,NA,140000,"renovated","average",NA,3,4,"No","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA," Vörösmarty utca,6"," Vörösmarty utca, 6",48.4002545,21.6572081936842
"81",2," Ady Endre utca",50,2,NA,160000,"renovated","high",NA,1,4,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","yard","No","Yes",NA,NA,NA,NA,NA,NA," Ady Endre utca,2"," Ady Endre utca, 2",46.8104556,20.0032836474349
"82",13," Pannónia Ház",53,2,NA,2e+05,"new",NA,NA,3,5,"Yes","3 or more","Yes","No",NA,"immediately","1 év",NA,NA,NA,NA,NA,"can buy","2019","5.3",NA," Pannónia Ház,13"," Pannónia Ház, 13",47.5225961,19.0576424890314
"83",2," Kelemen László utca",41,1,NA,140000,"good","high",NA,1,3,"No",NA,"No","Yes",23000,NA,"1 év","garden","No","Yes","Yes","No","included","1950-1980 ",NA,NA," Kelemen László utca,2"," Kelemen László utca, 2",46.2503979,20.1475885
"84",3," Uszály utca",30,1,NA,110000,"renovated","high",NA,NA,3,"No",NA,"No","Yes",NA,"immediately","1 év","street",NA,"Yes","Yes",NA,"street",NA,NA,NA," Uszály utca,3"," Uszály utca, 3",47.5283478,19.0397596554725
"85",13," Lehel utca 4",58,3,NA,120000,"good","high",NA,1,5,"Yes",NA,"No","Yes",NA,"immediately","1 év","street",NA,"Yes","No",NA,"street",NA,"15",NA," Lehel utca 4,13"," Lehel utca 4, 13",47.51845285,19.06405724508
"86",11," Szurdok utca",65,3,NA,240000,"like new","high","AA++",4,5,"Yes","less than 3","Yes","Yes",15000,"immediately","1 év","panorama","No","Yes","No","No","can rent","2017",NA,15000," Szurdok utca,11"," Szurdok utca, 11",47.8170947,18.8752707
"87",11," Sasad",77,3,NA,275000,"like new",NA,NA,3,NA,"Yes",NA,"Yes","Partially",NA,"immediately","1 év","panorama","No","Yes",NA,NA,"can rent","2011","5",25000," Sasad,11"," Sasad, 11",47.4741879,18.9907495
"88",6," Király utca",52,1,2,150000,"like new","high",NA,1,3,"No","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA," Király utca,6"," Király utca, 6",47.4985292,19.0560457632683
"89",9," Dandár utca",85,3,NA,299900,"renovated","very high",NA,6,6,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","street","Yes","Yes",NA,"No",NA,"2001-2010 ","12",NA," Dandár utca,9"," Dandár utca, 9",47.4766533,19.0717917
"90",7," Wesselényi utca 15.",65,3,NA,140000,"like new","average",NA,1,NA,"No","3 or more","Yes","Yes",60000,"immediately","nincs",NA,"No","Yes","No","No",NA,NA,NA,NA," Wesselényi utca 15.,7"," Wesselényi utca 15., 7",47.49740565,19.063354250935
"91",2," Török utca 4.",100,6,NA,250000,"like new","average",NA,1,NA,"No","3 or more","Yes","Yes",110000,"immediately","nincs",NA,"No","Yes","No","No",NA,NA,NA,NA," Török utca 4.,2"," Török utca 4., 2",47.5149319,19.0357533
"92",13," Szegedi út",76,3,NA,165000,"like new","very high",NA,4,NA,"Yes",NA,"Yes","No",18000,"immediately","1 év","street",NA,NA,NA,NA,"included","2001-2010 ","12",NA," Szegedi út,13"," Szegedi út, 13",46.1850485,18.9586049
"93",13," Béke utca",38,1,1,129000,"renovated","high",NA,NA,3,"No","less than 3","Yes","Yes",20000,"immediately","1 év","street","No","Yes","No","No","street","1950-1980 ",NA,NA," Béke utca,13"," Béke utca, 13",46.7825035,18.0121131
"94",7," Akácfa utca",56,2,NA,130000,"good","high",NA,2,5,"Yes",NA,NA,"Yes",NA,"immediately","1 év","yard","No","Yes","No","No",NA,NA,NA,NA," Akácfa utca,7"," Akácfa utca, 7",47.963756,22.3075265
"95",7," Károly körút 5.",30,1,NA,1e+05,"renovated","high",NA,1,NA,"Yes","less than 3","Yes","Yes",30000,"immediately","nincs","street","No","Yes","No","No",NA,NA,NA,NA," Károly körút 5.,7"," Károly körút 5., 7",47.4961694,19.0587545
"96",13," Béke utca",40,1,1,139000,"renovated","high",NA,NA,3,"No",NA,"Yes","Yes",20000,"immediately",NA,"street","No","Yes","No",NA,"street",NA,NA,NA," Béke utca,13"," Béke utca, 13",46.7825035,18.0121131
"97",13," Frangepán utca 76.",41,2,NA,149000,"new","high",NA,4,5,"Yes","less than 3","No","Partially",NA,"immediately",NA,"street",NA,"Yes","No",NA,"can rent","2018","3",20000," Frangepán utca 76.,13"," Frangepán utca 76., 13",47.53316645,19.0865605887869
"98",9," Nádasdy utca 15.",41,2,NA,150000,"new","high",NA,7,9,"Yes","less than 3",NA,"Partially",NA,"immediately","1 év","garden","No",NA,"No","No","street","2020","7",NA," Nádasdy utca 15.,9"," Nádasdy utca 15., 9",47.4716158,19.0786855
"99",1," Toldy Ferenc utca 48.",43,1,NA,120000,"good","high",NA,NA,4,"No",NA,"No","Yes",NA,"not immediately","1 év","street",NA,"Yes",NA,NA,"street",NA,NA,NA," Toldy Ferenc utca 48.,1"," Toldy Ferenc utca 48., 1",47.5064147,19.033906
"100",9," Mester utca 83.",32,1,NA,110000,"new",NA,NA,4,8,"Yes",NA,NA,"No",14000,"immediately","nincs","panorama",NA,"Yes",NA,"No",NA,NA,NA,NA," Mester utca 83.,9"," Mester utca 83., 9",47.47164575,19.081058575
"101",7," Thököly út",29,1,NA,90000,"renovated","high",NA,2,3,"No","less than 3","No","Yes",25000,"immediately","1 év","yard","No","Yes","No","No","street","2021",NA,NA," Thököly út,7"," Thököly út, 7",47.44537895,19.1830649327448
"102",9," Lónyay utca 13.",41,2,NA,110000,"renovated","high",NA,1,3,NA,NA,"No","Yes",NA,"immediately","1 év","yard",NA,"Yes","No",NA,"street",NA,NA,NA," Lónyay utca 13.,9"," Lónyay utca 13., 9",47.4865415,19.0614793
"103",13," Újlipótváros",38,1,NA,120000,"like new","high",NA,1,3,NA,"3 or more","No","Yes",20000,NA,"1 év","street","No","Yes",NA,NA,"street","1950-1980 ",NA,NA," Újlipótváros,13"," Újlipótváros, 13",47.4866865,18.9974695
"104",4," József Attila utca",44,1,1,166500,"new","high",NA,2,NA,"Yes",NA,NA,"Yes",NA,"immediately","1 év",NA,NA,"Yes","Yes","No",NA,NA,"10",NA," József Attila utca,4"," József Attila utca, 4",47.5590007,19.5195487935057
"105",1," Alagút utca 2.",55,2,NA,120000,"like new","high",NA,NA,NA,NA,"3 or more","No","Yes",50000,"immediately","nincs","street","No","Yes","No","No",NA,NA,NA,NA," Alagút utca 2.,1"," Alagút utca 2., 1",47.49712025,19.0348046865885
"106",9," Liliom utca",40,1,1,139000,"renovated","high",NA,1,4,"Yes","less than 3","Yes","Yes",NA,"immediately","1 év","street",NA,"Yes","No","No","street","1981-2000 ",NA,NA," Liliom utca,9"," Liliom utca, 9",47.42285045,19.0314380709717
