"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)","Address","ddress","lat","long"
"11584",8," Baross utca 45.",22,1,NA,85000,"renovated","high",NA,1,6,"Yes","3 or more",NA,"Yes",NA,"immediately","4 hónap",NA,NA,"Yes","No","No","street","1950 elott",NA,NA," Baross utca 45.,8"," Baross utca 45., 8",47.4892914,19.0694168
"11585",8," Kerepesi út",91,4,NA,250000,"good","very high",NA,2,5,"No","3 or more","No","By arrangement",40000,"immediately","1 év","street",NA,"Yes",NA,NA,"included",NA,NA,NA," Kerepesi út,8"," Kerepesi út, 8",47.5000814,19.1082829
"11586",8," Corvin köz 6.",86,3,NA,2e+05,NA,NA,NA,NA,NA,"Yes",NA,NA,"Yes",NA,"immediately","nincs",NA,NA,NA,NA,NA,NA,NA,"3",NA," Corvin köz 6.,8"," Corvin köz 6., 8",47.4863928,19.071752
"11587",10," Zágrábi utca 1-3",19,1,NA,90000,"renovated",NA,NA,NA,NA,"Yes","less than 3","Yes","Yes",NA,"immediately","6 hónap",NA,"No","No","No","No","included","1981-2000 ",NA,NA," Zágrábi utca 1-3,10"," Zágrábi utca 1-3, 10",47.4712194,19.114771
"11588",8," Krúdy utca",10,3,NA,60000,"renovated",NA,NA,NA,NA,NA,"3 or more",NA,"Yes",7000,"immediately","nincs",NA,NA,"Yes",NA,"No",NA,NA,NA,NA," Krúdy utca,8"," Krúdy utca, 8",47.4902834,19.0675814
"11589",2," Hidász utca",148,3,1,4e+05,"renovated","high",NA,NA,2,"No",NA,"Yes","Yes",30000,"immediately",NA,"yard","Yes","Yes","Yes",NA,"included",NA,"14",NA," Hidász utca,2"," Hidász utca, 2",47.5199753,18.9979628299258
"11590",9," Lónyay utca",95,2,1,220000,"renovated",NA,NA,1,3,"Yes",NA,NA,"Yes",20000,"immediately",NA,"street",NA,"Yes","No",NA,NA,NA,NA,NA," Lónyay utca,9"," Lónyay utca, 9",47.48721295,19.0610743316421
"11591",7," Madách Imre út",59,2,1,216840,"renovated",NA,NA,6,8,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","street",NA,"Yes",NA,NA,"street","1950 elott","15",NA," Madách Imre út,7"," Madách Imre út, 7",48.14372755,19.8589260239705
"11592",8," Baross tér",60,3,NA,198770,"renovated","high",NA,2,NA,"No",NA,"No","Yes",NA,NA,NA,"street",NA,"Yes","No",NA,NA,NA,NA,NA," Baross tér,8"," Baross tér, 8",47.49926045,19.081529200104
"11593",8," Baross tér",50,2,NA,162630,"renovated","high",NA,2,NA,"No",NA,"No","Yes",NA,"immediately",NA,"street","No","Yes","No",NA,NA,NA,NA,NA," Baross tér,8"," Baross tér, 8",47.49926045,19.081529200104
"11594",5," Régi posta utca",160,5,2,550000,"renovated",NA,NA,4,6,"Yes","3 or more","Yes","No",50000,NA,"2 év","street",NA,"Yes",NA,NA,"street","1950 elott","6",NA," Régi posta utca,5"," Régi posta utca, 5",47.4940412,19.051217
"11595",12," Dolgos utca",100,4,NA,590000,"like new","very high",NA,4,5,"Yes",NA,"Yes","Partially",NA,"immediately","1 év","panorama","No","Yes","No","No",NA,"2001-2010 ","6",NA," Dolgos utca,12"," Dolgos utca, 12",47.4915962,19.0201081
"11596",14," Amerikai út",44,2,NA,180000,"renovated","high",NA,NA,2,"No",NA,"Yes","Yes",10000,"immediately","1 év","garden","Yes","Yes","No","No","street","1981-2000 ",NA,NA," Amerikai út,14"," Amerikai út, 14",47.51239005,19.1054246388477
"11597",13," Mohács utca",70,2,1,220000,"new","average",NA,4,NA,"Yes","less than 3","Yes","Partially",NA,"immediately","1 év","yard","No","Yes","No","No","included","2019",NA,NA," Mohács utca,13"," Mohács utca, 13",47.60552965,19.3681538
"11598",11," Beregszász út",51,2,NA,180000,"good",NA,NA,NA,NA,NA,"less than 3","Yes","Yes",NA,"immediately","1 év","garden","No","Yes","No","No","included",NA,NA,NA," Beregszász út,11"," Beregszász út, 11",47.4670872,19.0146225440875
"11599",13," Váci út",40,1,1,110000,"fair","high",NA,1,5,"Yes","less than 3",NA,"Partially",NA,"immediately","1 év","street",NA,NA,"No",NA,"street","1950-1980 ",NA,NA," Váci út,13"," Váci út, 13",47.5626928,19.0787482822861
"11600",5," Október 6. utca",124,4,NA,360000,"renovated","luxury",NA,3,3,"No","3 or more","Yes","By arrangement",75000,"immediately","1 év","street","No","Yes","No","No","street","1950 elott",NA,NA," Október 6. utca,5"," Október 6. utca, 5",47.4999381,19.0513551
"11601",10," Újhegyi út 4b",34,1,1,115000,"like new","high","AA+",NA,4,"Yes","less than 3","Yes","Yes",20000,"immediately","6 hónap","street","No","Yes","No","No","included","2001-2010 ",NA,NA," Újhegyi út 4b,10"," Újhegyi út 4b, 10",47.4643357,19.1606979
"11602",11," Karinthy Frigyes út",20,1,NA,55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,"4",NA," Karinthy Frigyes út,11"," Karinthy Frigyes út, 11",47.476801,19.0501134
"11603",1," Mikó utca 1.",103,4,NA,370000,"renovated","luxury",NA,3,4,"Yes","3 or more","Yes","Yes",NA,"immediately","6 hónap","panorama","No","Yes",NA,"No","can rent","1950-1980 ",NA,30000," Mikó utca 1.,1"," Mikó utca 1., 1",47.4995802,19.031426
"11604",7," Izabella utca",30,1,NA,110000,"renovated","high",NA,1,4,"No",NA,NA,"Yes",NA,"immediately","nincs","street",NA,NA,NA,NA,NA,NA,NA,NA," Izabella utca,7"," Izabella utca, 7",47.5029061,19.0739587677974
"11605",11," Bartók Béla út 55.",79,3,NA,230000,NA,NA,NA,4,NA,"Yes",NA,NA,"Yes",NA,"immediately","nincs","yard",NA,"Yes","No","No",NA,NA,NA,NA," Bartók Béla út 55.,11"," Bartók Béla út 55., 11",47.47730975,19.0451646949533
"11606",22," Vörösmarty utca",15,1,NA,50000,"renovated",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"immediately","3 hónap",NA,NA,NA,"No","No",NA,NA,"4",NA," Vörösmarty utca,22"," Vörösmarty utca, 22",47.690781,17.6353286
"11607",5," Váci utca",110,4,NA,234910,"good","high",NA,3,5,"No",NA,NA,"Yes",32000,"immediately","1 év","street",NA,"Yes",NA,NA,NA,NA,NA,NA," Váci utca,5"," Váci utca, 5",47.4953826,19.0514253
